country,iso3,indicator_code,indicator_name,year,value,variable
Africa Eastern and Southern,AFE,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,physicians_per_1000
Africa Eastern and Southern,AFE,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,physicians_per_1000
Africa Eastern and Southern,AFE,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,physicians_per_1000
Africa Eastern and Southern,AFE,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,physicians_per_1000
Africa Eastern and Southern,AFE,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,physicians_per_1000
Africa Western and Central,AFW,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,physicians_per_1000
Africa Western and Central,AFW,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,physicians_per_1000
Africa Western and Central,AFW,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,physicians_per_1000
Africa Western and Central,AFW,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,physicians_per_1000
Africa Western and Central,AFW,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,physicians_per_1000
Arab World,ARB,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,physicians_per_1000
Arab World,ARB,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,physicians_per_1000
Arab World,ARB,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,physicians_per_1000
Arab World,ARB,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,physicians_per_1000
Arab World,ARB,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,physicians_per_1000
Caribbean small states,CSS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,physicians_per_1000
Caribbean small states,CSS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,physicians_per_1000
Caribbean small states,CSS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,physicians_per_1000
Caribbean small states,CSS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,physicians_per_1000
Caribbean small states,CSS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,physicians_per_1000
Central Europe and the Baltics,CEB,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,physicians_per_1000
Central Europe and the Baltics,CEB,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,physicians_per_1000
Central Europe and the Baltics,CEB,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,physicians_per_1000
Central Europe and the Baltics,CEB,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,physicians_per_1000
Central Europe and the Baltics,CEB,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,physicians_per_1000
Early-demographic dividend,EAR,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,physicians_per_1000
Early-demographic dividend,EAR,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,physicians_per_1000
Early-demographic dividend,EAR,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,physicians_per_1000
Early-demographic dividend,EAR,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,physicians_per_1000
Early-demographic dividend,EAR,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,physicians_per_1000
East Asia & Pacific,EAS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,physicians_per_1000
East Asia & Pacific,EAS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,physicians_per_1000
East Asia & Pacific,EAS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,physicians_per_1000
East Asia & Pacific,EAS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,physicians_per_1000
East Asia & Pacific,EAS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,physicians_per_1000
